rows,cleaning_time,dt_time,dt_accuracy
500,0.09294629096984863,0.06995892524719238,0.9261744966442953
1000,0.09994053840637207,0.058966875076293945,0.9358108108108109
1500,0.08495020866394043,0.09894347190856934,0.9527027027027027
2000,0.11193585395812988,0.20488309860229492,0.930976430976431
2500,0.09794306755065918,0.08295273780822754,0.9798115746971736
3000,0.10450911521911621,0.26584935188293457,0.8936170212765957
3500,0.15191364288330078,0.15691328048706055,0.9691417550626809
4000,0.16390776634216309,0.3717782497406006,0.8628281117696867
4500,0.22787117958068848,0.15391087532043457,0.8075187969924812
5000,0.36678433418273926,0.12493252754211426,0.9749492213947191
5500,0.14092111587524414,0.14093899726867676,0.964525993883792
6000,0.24386024475097656,0.185896635055542,0.8578623391158366
6500,0.18989109992980957,0.23186922073364258,0.8026109660574412
7000,0.2968301773071289,0.17190098762512207,0.9831081081081081
7500,0.17689800262451172,0.3208155632019043,0.8388689407540395
8000,0.21087908744812012,0.22986578941345215,0.9125315391084945
8500,0.31382083892822266,0.2748439311981201,0.9068569163694015
9000,0.22187423706054688,0.2618694305419922,0.9102515959444236
9500,0.24585938453674316,0.25485849380493164,0.9596174282678002
10000,0.2718465328216553,0.4692497253417969,0.9730003374957813
10500,0.2079010009765625,0.365786075592041,0.9288005131494548
11000,0.2548544406890869,0.2868342399597168,0.9804639804639804
11500,0.3508007526397705,0.4300670623779297,0.9656499851939592
12000,0.30182623863220215,0.35379719734191895,0.9873417721518988
12500,0.3448014259338379,0.40717005729675293,0.8360788549824467
13000,0.2928299903869629,0.42375874519348145,0.9224383916990921
13500,0.32981395721435547,0.35779643058776855,0.9880299251870324
14000,0.35059642791748047,0.5087180137634277,0.9683377308707124
14500,0.46373510360717773,0.4607365131378174,0.9651324965132496
15000,0.5396924018859863,0.45573925971984863,0.8853231597845601
15500,0.46973109245300293,0.6624205112457275,0.8599348534201955
16000,0.4499363899230957,0.7155919075012207,0.9138077085980517
16500,0.6645193099975586,0.586663007736206,0.9121981170691772
17000,0.820533275604248,0.5356934070587158,0.9702439992065066
17500,0.5127091407775879,0.7415757179260254,0.9560038424591739
18000,0.38577914237976074,0.4557766914367676,0.9904690712016445
18500,0.3448045253753662,0.6576237678527832,0.9287937030935384
19000,0.35579824447631836,0.6022953987121582,0.8003549245785271
19500,0.4207625389099121,0.6806125640869141,0.8570686970064025
20000,0.4595365524291992,0.5666742324829102,0.9769399091062111
20500,0.5576832294464111,0.7385785579681396,0.9453381483913329
21000,0.5281410217285156,0.7555675506591797,0.7993911232174331
21500,0.6906082630157471,0.879608154296875,0.9717143303641194
22000,0.3667898178100586,0.8185338973999023,0.9743746186699207
22500,0.5306963920593262,0.8215279579162598,0.940347721822542
23000,0.5266966819763184,0.8295454978942871,0.8002945508100148
23500,0.557126522064209,0.6606245040893555,0.990909090909091
24000,0.5666730403900146,0.8705213069915771,0.9297800338409475
24500,0.5164682865142822,0.7445709705352783,0.8945274996571115
25000,0.7135927677154541,0.8874938488006592,0.9765232731713936
