rows,cleaning_time,kmeans_time,kmeans_inertia
500,0.09294629096984863,0.08495163917541504,0.4615657012916634
1000,0.09994053840637207,0.07995319366455078,0.4557417966222896
1500,0.08495020866394043,0.11693072319030762,0.6049059896451504
2000,0.11193585395812988,0.12682247161865234,0.5764092346992621
2500,0.09794306755065918,0.11993193626403809,0.9254231812553139
3000,0.10450911521911621,0.08895230293273926,0.6055072340359566
3500,0.15191364288330078,0.17789793014526367,0.6855355870428022
4000,0.16390776634216309,0.1299288272857666,0.5059390236915042
4500,0.22787117958068848,0.13192439079284668,0.5018375908098909
5000,0.36678433418273926,0.14091777801513672,0.6239026950364597
5500,0.14092111587524414,0.11011672019958496,0.42786281639329354
6000,0.24386024475097656,0.10793924331665039,0.30492848430687
6500,0.18989109992980957,0.13792133331298828,0.4285460138540149
7000,0.2968301773071289,0.5217013359069824,0.7806511935946672
7500,0.17689800262451172,0.1747751235961914,0.5543871317852352
8000,0.21087908744812012,0.14092445373535156,0.4557841539594385
8500,0.31382083892822266,0.12193083763122559,0.47163702880465025
9000,0.22187423706054688,0.20088601112365723,0.5156401975904145
9500,0.24585938453674316,0.14591550827026367,0.5431682422387689
10000,0.2718465328216553,0.21387648582458496,0.4203244462625694
10500,0.2079010009765625,0.15091443061828613,0.2999917606304826
11000,0.2548544406890869,0.2448594570159912,0.38240136165742394
11500,0.3508007526397705,0.16090703010559082,0.37606527960594804
12000,0.30182623863220215,0.2008833885192871,0.32302313911573033
12500,0.3448014259338379,0.20288300514221191,0.3795448303985674
13000,0.2928299903869629,0.21887636184692383,0.6920228769084923
13500,0.32981395721435547,0.39577341079711914,0.7563066233211015
14000,0.35059642791748047,0.17290043830871582,0.8513859628497809
14500,0.46373510360717773,0.20088410377502441,0.459755966518146
15000,0.5396924018859863,0.17926502227783203,0.6201363576207518
15500,0.46973109245300293,0.19803380966186523,0.5245795149952119
16000,0.4499363899230957,0.29982638359069824,0.6949896575719177
16500,0.6645193099975586,0.2108774185180664,0.3348025223912852
17000,0.820533275604248,0.25385522842407227,0.4957027335974485
17500,0.5127091407775879,0.35379743576049805,0.8123668626123571
18000,0.38577914237976074,0.21887469291687012,0.15074169362573078
18500,0.3448045253753662,0.20388269424438477,0.5295437387915956
19000,0.35579824447631836,0.2188730239868164,0.44687944734331486
19500,0.4207625389099121,0.23386549949645996,0.5803339374506397
20000,0.4595365524291992,0.36179232597351074,0.8167495671887525
20500,0.5576832294464111,0.36879444122314453,0.6112177260391187
21000,0.5281410217285156,0.22486472129821777,0.416143648315434
21500,0.6906082630157471,0.34133386611938477,0.5200080102482504
22000,0.3667898178100586,0.23186540603637695,0.6881771401756971
22500,0.5306963920593262,0.2608494758605957,0.6690720739112532
23000,0.5266966819763184,0.30182671546936035,0.3353176422173975
23500,0.557126522064209,0.2568540573120117,0.5506555796979524
24000,0.5666730403900146,0.24785637855529785,0.41455705652507957
24500,0.5164682865142822,0.28783655166625977,0.558507717170238
25000,0.7135927677154541,0.26984500885009766,0.5425495917196813
