rows,cleaning_time,dt_time,dt_accuracy
500,0.22586798667907715,0.34980154037475586,0.9194630872483222
1000,0.2244112491607666,0.09994387626647949,0.9324324324324325
1500,0.22387290000915527,0.19988512992858887,0.954954954954955
2000,0.2608489990234375,0.2848379611968994,0.9326599326599326
2500,0.44979190826416016,0.2628498077392578,0.9798115746971736
3000,0.39377498626708984,0.26723241806030273,0.8958566629339306
3500,0.46173596382141113,0.4624350070953369,0.9691417550626809
4000,0.5466854572296143,0.47572803497314453,0.8645215918712955
4500,1.1843211650848389,0.23586630821228027,0.8150375939849624
5000,1.1418063640594482,0.24486088752746582,0.975626269465132
5500,1.2902636528015137,0.24885773658752441,0.9614678899082569
6000,0.9181692600250244,0.27984118461608887,0.8528259653049804
6500,1.302009105682373,0.3627934455871582,0.8073107049608355
7000,1.3231909275054932,0.2848355770111084,0.9826254826254827
7500,1.2328765392303467,0.5067121982574463,0.8361759425493717
8000,1.8838565349578857,0.5569264888763428,0.915475189234651
8500,1.367218017578125,0.3687868118286133,0.9116131589377725
9000,1.5275640487670898,0.43974971771240234,0.9079984979346601
9500,1.5880913734436035,0.4647347927093506,0.9596174282678002
10000,1.622826337814331,0.5379512310028076,0.974687816402295
10500,1.3872060775756836,0.4727315902709961,0.9291212315586914
11000,1.493940830230713,0.41975975036621094,0.9795482295482295
11500,1.838484764099121,0.9064819812774658,0.966242226828546
12000,1.8629345893859863,0.5826668739318848,0.9873417721518988
12500,1.5140361785888672,0.6326377391815186,0.8368890089116933
13000,2.396705150604248,0.6936039924621582,0.9211413748378728
13500,1.9536919593811035,0.5306947231292725,0.9880299251870324
14000,1.6150753498077393,0.803955078125,0.969057327896378
14500,2.5983879566192627,0.6206445693969727,0.9669920966992097
15000,2.4069182872772217,0.7945423126220703,0.8882405745062837
15500,2.668564558029175,0.8115370273590088,0.8571118349619978
16000,2.361971855163574,0.764561653137207,0.9127488352393054
16500,2.593905448913574,0.7465715408325195,0.9152681129758493
17000,2.1057891845703125,0.8737108707427979,0.9710374925609998
17500,2.5535693168640137,1.1486170291900635,0.9561959654178674
18000,1.851276159286499,0.6506454944610596,0.9893477854606616
18500,1.8154399394989014,0.8804969787597656,0.928610653487095
19000,2.147958278656006,0.8385219573974609,0.8015971606033718
19500,2.267329454421997,0.877779483795166,0.8562034954144315
20000,2.370859384536743,0.8954873085021973,0.9752566907927959
20500,3.7020177841186523,1.1476874351501465,0.9453381483913329
21000,2.757624864578247,0.9644482135772705,0.8008331998077232
21500,3.5228028297424316,1.2347800731658936,0.971245507110486
22000,2.091670274734497,1.0437545776367188,0.975594874923734
22500,2.7689528465270996,1.1526601314544678,0.9427458033573142
23000,2.829169273376465,1.0653910636901855,0.8005891016200295
23500,2.76824688911438,0.8974883556365967,0.9907647907647907
24000,2.7176191806793213,1.3441760540008545,0.9300620417371687
24500,2.8749630451202393,1.3672723770141602,0.8945274996571115
25000,2.9423346519470215,1.224841833114624,0.9770660876645406
